slug,page_path,symbol_category,copy_pattern,has_collection_now,collection_opportunity,verdict,rationale,source,checked_date
messi-emoji-combos,library/messi-emoji-combos/index.html,Messi Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
mexico-emoji-combos,library/mexico-emoji-combos/index.html,Mexico Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
minecraft-symbols,library/minecraft-symbols/index.html,Minecraft Symbols,single,no,no,N/A,Spec copy_pattern=single: glyphs are copied individually; there is no whole-set paste job.,spec,2026-06-17
ml-name-symbols,library/ml-name-symbols/index.html,Mobile Legends Name Symbols,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
moai-emoji,library/moai-emoji/index.html,Moai Emoji,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
modric-emoji-combos,library/modric-emoji-combos/index.html,Modric Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
money-emojis,library/money-emojis/index.html,Money Emojis,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
moon-celestial-symbols,library/moon-celestial-symbols/index.html,Moon/celestial,collection,yes,yes,KEEP,Moon-phase sequences and night-sky sets are pasted as decorative units - already implemented and a genuine fit.,legacy,2026-06-17
morocco-emoji-combos,library/morocco-emoji-combos/index.html,Morocco Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
movie-night-emojis,library/movie-night-emojis/index.html,Movie Night Emojis,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
musiala-emoji-combos,library/musiala-emoji-combos/index.html,Musiala Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
music-symbols,library/music-symbols/index.html,Music notes,collection,yes,yes,KEEP,Has a Music Note Bio Decorations section; note strings are pasted as decoration (weaker fit; page is mostly single-note lookup).,legacy,2026-06-17
nature-emojis,library/nature-emojis/index.html,Nature Emojis,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
nerd-emoji,library/nerd-emoji/index.html,Nerd Emoji & Meme Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
netherlands-emoji-combos,library/netherlands-emoji-combos/index.html,Netherlands Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
new-zealand-emoji-combos,library/new-zealand-emoji-combos/index.html,New Zealand Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
neymar-emoji-combos,library/neymar-emoji-combos/index.html,Neymar Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
nickname-symbols,library/nickname-symbols/index.html,Nickname Symbols,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
nigeria-emoji-combos,library/nigeria-emoji-combos/index.html,Nigeria Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
nkunku-emoji-combos,library/nkunku-emoji-combos/index.html,Nkunku Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
norse-viking-runes,library/norse-viking-runes/index.html,Runes,collection,yes,yes,KEEP,Full futhark alphabets are copied as runic sets - already implemented and a genuine fit.,legacy,2026-06-17
norway-emoji-combos,library/norway-emoji-combos/index.html,Norway Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
number-symbols,library/number-symbols/index.html,Numerals,single,no,no,N/A,"Circled, superscript and Roman numerals are chosen individually (explicit individual-numerals case); collection copy is a poor fit despite current use.",legacy,2026-06-17
object-emojis,library/object-emojis/index.html,Object Emojis,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
osimhen-emoji-combos,library/osimhen-emoji-combos/index.html,Osimhen Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
panama-emoji-combos,library/panama-emoji-combos/index.html,Panama Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
paraguay-emoji-combos,library/paraguay-emoji-combos/index.html,Paraguay Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
party-celebration-emojis,library/party-celebration-emojis/index.html,Party & Celebration Emojis,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
peace-symbol,library/peace-symbol/index.html,Peace Symbol,single,no,no,N/A,Spec copy_pattern=single: glyphs are copied individually; there is no whole-set paste job.,spec,2026-06-17
pedri-emoji-combos,library/pedri-emoji-combos/index.html,Pedri Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
people-profession-emojis,library/people-profession-emojis/index.html,Profession emojis,single,no,no,N/A,One profession emoji is picked per context.,legacy,2026-06-17
peru-emoji-combos,library/peru-emoji-combos/index.html,Peru Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
poland-emoji-combos,library/poland-emoji-combos/index.html,Poland Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
poop-emoji,library/poop-emoji/index.html,Poop Emoji,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
portugal-emoji-combos,library/portugal-emoji-combos/index.html,Portugal Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
preppy-emoji-combos,library/preppy-emoji-combos/index.html,Preppy Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
punctuation-symbols,library/punctuation-symbols/index.html,Punctuation Symbols,single,no,no,N/A,Spec copy_pattern=single: glyphs are copied individually; there is no whole-set paste job.,spec,2026-06-17
qatar-emoji-combos,library/qatar-emoji-combos/index.html,Qatar Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
rashford-emoji-combos,library/rashford-emoji-combos/index.html,Rashford Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
recycle-environment-symbols,library/recycle-environment-symbols/index.html,Recycle Symbols,single,no,no,N/A,Spec copy_pattern=single: glyphs are copied individually; there is no whole-set paste job.,spec,2026-06-17
religious-symbols,library/religious-symbols/index.html,Faith symbols,single,no,no,N/A,A single faith symbol is copied per tradition.,legacy,2026-06-17
roblox-symbols,library/roblox-symbols/index.html,Roblox decoration,collection,yes,yes,KEEP,"Cute/Y2K decoration strings for Roblox display names are pasted as units within the content filter (weaker, platform-driven fit).",legacy,2026-06-17
roblox-text-art,library/roblox-text-art/index.html,Roblox Text Art,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
rodri-emoji-combos,library/rodri-emoji-combos/index.html,Rodri Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
rodrygo-emoji-combos,library/rodrygo-emoji-combos/index.html,Rodrygo Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
ronaldo-emoji-combos,library/ronaldo-emoji-combos/index.html,Ronaldo Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
sad-emoji,library/sad-emoji/index.html,Sad Emoji & Kaomoji,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
saka-emoji-combos,library/saka-emoji-combos/index.html,Saka Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
salah-emoji-combos,library/salah-emoji-combos/index.html,Salah Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
saudi-arabia-emoji-combos,library/saudi-arabia-emoji-combos/index.html,Saudi Arabia Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
school-education-emojis,library/school-education-emojis/index.html,School & Education Emojis,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
scotland-emoji-combos,library/scotland-emoji-combos/index.html,Scotland Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
seasonal-emoji-combos,library/seasonal-emoji-combos/index.html,Seasonal Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
senegal-emoji-combos,library/senegal-emoji-combos/index.html,Senegal Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
serbia-emoji-combos,library/serbia-emoji-combos/index.html,Serbia Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
shocked-emoji,library/shocked-emoji/index.html,Shocked Emoji & Kaomoji,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
side-eye-emoji,library/side-eye-emoji/index.html,Side Eye Emoji,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
slash-backslash-symbols,library/slash-backslash-symbols/index.html,Slashes,single,no,no,N/A,A specific slash or backslash glyph is copied alone.,legacy,2026-06-17
smiley-face-guide,library/smiley-face-guide/index.html,Editorial guide,single,no,no,N/A,"Editorial guide on smiley meanings, not a copy-grid page.",legacy,2026-06-17
soccer-emoji-copy-paste,library/soccer-emoji-copy-paste/index.html,Soccer Emoji,single,no,no,N/A,Spec copy_pattern=single: glyphs are copied individually; there is no whole-set paste job.,spec,2026-06-17
son-emoji-combos,library/son-emoji-combos/index.html,Son Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
south-africa-emoji-combos,library/south-africa-emoji-combos/index.html,South Africa Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
south-korea-emoji-combos,library/south-korea-emoji-combos/index.html,South Korea Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
spain-emoji-combos,library/spain-emoji-combos/index.html,Spain Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
sparkle-symbols,library/sparkle-symbols/index.html,Sparkles,collection,yes,yes,KEEP,"Sparkle/glitter strings, aesthetic decorators and divider/border characters are pasted whole (explicit sparkle-string case).",legacy,2026-06-17
special-characters,library/special-characters/index.html,Standalone specials,single,no,no,N/A,Meaningful standalone symbols are copied individually by definition.,legacy,2026-06-17
sports-emojis,library/sports-emojis/index.html,Sports emojis,single,no,no,N/A,One sport or activity emoji is picked per post.,legacy,2026-06-17
star-symbols,library/star-symbols/index.html,Stars,collection,yes,yes,KEEP,Has Aesthetic Star Bio Decorations; star strings are pasted whole as decoration.,legacy,2026-06-17
suarez-emoji-combos,library/suarez-emoji-combos/index.html,Suarez Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
sweden-emoji-combos,library/sweden-emoji-combos/index.html,Sweden Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
switzerland-emoji-combos,library/switzerland-emoji-combos/index.html,Switzerland Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
tech-status-symbols,library/tech-status-symbols/index.html,Tech & Status Symbols,single,no,no,N/A,Spec copy_pattern=single: glyphs are copied individually; there is no whole-set paste job.,spec,2026-06-17
text-art,library/text-art/index.html,Text Art,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
text-faces-kaomoji,library/text-faces-kaomoji/index.html,Kaomoji,collection,yes,yes,KEEP,"Themed kaomoji combos can be offered as sets, though each kaomoji is already a self-contained unit (task-listed case; weaker fit).",legacy,2026-06-17
thanksgiving-symbols,library/thanksgiving-symbols/index.html,Thanksgiving Symbols,single,no,no,N/A,Spec copy_pattern=single: glyphs are copied individually; there is no whole-set paste job.,spec,2026-06-17
therian-symbols,library/therian-symbols/index.html,Therian Symbols,single,no,no,N/A,Spec copy_pattern=single: glyphs are copied individually; there is no whole-set paste job.,spec,2026-06-17
thumbs-up-emoji,library/thumbs-up-emoji/index.html,Thumbs Up Emoji,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
tiktok-symbols,library/tiktok-symbols/index.html,TikTok decoration,collection,yes,yes,KEEP,Has TikTok Bio Separators & Dividers built to paste as multi-symbol units.,legacy,2026-06-17
traffic-road-sign-symbols,library/traffic-road-sign-symbols/index.html,Traffic/road signs,single,no,no,N/A,A specific traffic or road sign is copied; the stoplight trio is a minor sequence.,legacy,2026-06-17
transport-symbols,library/transport-symbols/index.html,Transport emojis,single,no,no,N/A,One vehicle or transport emoji is picked per context.,legacy,2026-06-17
travel-vacation-emojis,library/travel-vacation-emojis/index.html,Travel & Vacation Emojis,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
tunisia-emoji-combos,library/tunisia-emoji-combos/index.html,Tunisia Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
turkey-emoji-combos,library/turkey-emoji-combos/index.html,Turkey Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
ukraine-emoji-combos,library/ukraine-emoji-combos/index.html,Ukraine Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
unit-measurement-symbols,library/unit-measurement-symbols/index.html,Unit & Measurement Symbols,single,no,no,N/A,Spec copy_pattern=single: glyphs are copied individually; there is no whole-set paste job.,spec,2026-06-17
uruguay-emoji-combos,library/uruguay-emoji-combos/index.html,Uruguay Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
usa-emoji-combos,library/usa-emoji-combos/index.html,USA Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
venezuela-emoji-combos,library/venezuela-emoji-combos/index.html,Venezuela Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
vertical-line-symbols,library/vertical-line-symbols/index.html,Vertical Line Symbols,single,no,no,N/A,Spec copy_pattern=single: glyphs are copied individually; there is no whole-set paste job.,spec,2026-06-17
vinicius-emoji-combos,library/vinicius-emoji-combos/index.html,Vinicius Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
wales-emoji-combos,library/wales-emoji-combos/index.html,Wales Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
weapon-tool-emojis,library/weapon-tool-emojis/index.html,Weapon & Tool Emojis,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
weather-symbols,library/weather-symbols/index.html,Weather,single,no,no,N/A,A single weather glyph is copied per condition.,legacy,2026-06-17
wedding-anniversary-emojis,library/wedding-anniversary-emojis/index.html,Wedding & Anniversary Emojis,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
whatsapp-symbols,library/whatsapp-symbols/index.html,WhatsApp Symbols,single,no,no,N/A,Spec copy_pattern=single: glyphs are copied individually; there is no whole-set paste job.,spec,2026-06-17
wirtz-emoji-combos,library/wirtz-emoji-combos/index.html,Wirtz Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
witchy-occult-symbols,library/witchy-occult-symbols/index.html,Occult aesthetic,collection,yes,yes,KEEP,"Witchy bio decoration; pentagram, moon and planetary strings are pasted as aesthetic units, though it doubles as an alchemical reference (weaker fit).",legacy,2026-06-17
world-cup-emoji-combos,library/world-cup-emoji-combos/index.html,World Cup Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
x-twitter-symbols,library/x-twitter-symbols/index.html,X/Twitter formatting,single,no,no,N/A,"Thread-formatting, quote markers and verification glyphs are functional single inserts.",legacy,2026-06-17
y2k-symbols,library/y2k-symbols/index.html,Y2K aesthetic,collection,yes,yes,KEEP,"Explicit Y2K Combo Templates; cyber, star and butterfly strings are pasted as decorative units.",legacy,2026-06-17
yamal-emoji-combos,library/yamal-emoji-combos/index.html,Yamal Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
yin-yang-symbol,library/yin-yang-symbol/index.html,Yin Yang Symbol,single,no,no,N/A,Spec copy_pattern=single: glyphs are copied individually; there is no whole-set paste job.,spec,2026-06-17
zodiac-symbols,library/zodiac-symbols/index.html,Zodiac/astrology,collection,yes,yes,KEEP,Has a Zodiac & Astrology Sets grouping; the 12-sign set and astrology strings are pasted as units - already implemented.,legacy,2026-06-17
